,Unnamed: 0.1,id_folder,dict_additive_factor,dict_multiplication_factor,average_statistic,average_p_value,mean_synergy,mean_not_synergy,dif_mean,description
0,0,2,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}",0.016785477453580916,0.03704160621831207,0.9665201248350422,0.9666552616755164,0.0001351368404741704,
1,1,1,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}",0.016785477453580916,0.03704160621831207,0.9665201248350422,0.9666552616755164,0.0001351368404741704,
2,2,2,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}",0.016785477453580916,0.03704160621831207,0.9665201248350422,0.9666552616755164,0.0001351368404741704,
3,3,3,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 0.34556072704304774, 'betweenness': 0.417022004702574, 'pagerank': 0.39676747423066994, 'closeness': 0.7203244934421581, 'katz': 0.1862602113776709, 'hits_authority': 0.14675589081711304, 'hits_hub': 0.0923385947687978, 'eigenvector': 0.30233257263183977, 'eigentrust': 0.00011437481734488664}",0.017945954907161804,0.04764834719347196,0.978600521987272,0.9787042634892228,0.00010374150195069376,
4,4,4,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 0.41730480236712697, 'betweenness': 0.538816734003357, 'pagerank': 0.5586898284457517, 'closeness': 0.4191945144032948, 'katz': 0.6704675101784022, 'hits_authority': 0.8781174363909454, 'hits_hub': 0.027387593197926163, 'eigenvector': 0.20445224973151743, 'eigentrust': 0.6852195003967595}",0.017738726790450937,0.04452778245108361,0.9767158125508943,0.9768263002336838,0.00011048768278942857,
5,5,5,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 0.6289979671721327, 'betweenness': 0.8065565459156647, 'pagerank': 0.6740140565422112, 'closeness': 0.3007216185680257, 'katz': 0.11285195732645614, 'hits_authority': 0.39766269544011024, 'hits_hub': 0.9797855836449405, 'eigenvector': 0.7548828346882218, 'eigentrust': 0.3878167424595005}",0.017282824933687047,0.05687424926215502,0.9722064779939414,0.9723305427015172,0.00012406470757575502,
6,6,6,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 0.5760170734956989, 'betweenness': 0.7188399882723143, 'pagerank': 0.5480831844105255, 'closeness': 0.17683385145182873, 'katz': 0.11263406209427251, 'hits_authority': 0.4316592698388768, 'hits_hub': 0.9937767782176742, 'eigenvector': 0.7052525915706137, 'eigentrust': 0.6451355712418234}",0.01728282493368699,0.04983017784971156,0.9732189336964628,0.9733402889463072,0.00012135524984446809,
7,7,7,"{'logFC': 0, 'betweenness': 0, 'pagerank': 0, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 0.9888475703849531, 'betweenness': 0.9882760298588632, 'pagerank': 0.8886445369249875, 'closeness': 0.4994844235445327, 'katz': 0.6133539108680015, 'hits_authority': 0.3054643565407015, 'hits_hub': 0.9324560467742089, 'eigenvector': 0.8534748979547667, 'eigentrust': 0.501441783003169}",0.016764754641909796,0.037915727641134565,0.9666636244540776,0.966798575236938,0.00013495078286029916,
8,8,8,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 1, 'katz': 1, 'hits_authority': 1, 'hits_hub': 1, 'eigenvector': 1, 'eigentrust': 1}",0.016868368700265257,0.058126507089741326,0.9597118704974807,0.9598644869536904,0.00015261645620967546,
9,9,9,"{'logFC': 1, 'betweenness': 1, 'pagerank': 1, 'closeness': 0, 'katz': 0, 'hits_authority': 0, 'hits_hub': 0, 'eigenvector': 0, 'eigentrust': 0}","{'logFC': 1.7278036352152388, 'betweenness': 2.08511002351287, 'pagerank': 1.9838373711533497, 'closeness': 3.6016224672107904, 'katz': 0.9313010568883545, 'hits_authority': 0.7337794540855652, 'hits_hub': 0.461692973843989, 'eigenvector': 1.5116628631591988, 'eigentrust': 0.0005718740867244332}",0.015148375331564991,0.05108787360802517,0.9548843210502392,0.9550276498107012,0.00014332876046185827,
